n_units,f1_val,f1_val_std,f1_treino,gap_treino_val,roc_auc,pr_auc,epocas,tempo_s
16,0.6421738932899577,0.008553794359057081,0.6518782677702224,0.009704374480264732,0.8691822721564142,0.7205874665642372,26.666666666666668,28.4
32,0.6492426535593246,0.0019488576878298868,0.6634843626559607,0.014241709096636024,0.8781010223411653,0.7396740115243805,41.0,46.1
64,0.6597410855541087,0.005543980007080348,0.6840762898314902,0.02433520427738145,0.8851879968412021,0.7570729309124967,44.0,55.0
128,0.6688905837866579,0.003089826445682538,0.6991607055296652,0.03027012174300736,0.8893858728587404,0.7649658271630084,43.333333333333336,79.4
256,0.6802459425870285,0.0043760480499963755,0.7177164778221302,0.03747053523510169,0.8914154261808723,0.7686706042184598,39.666666666666664,131.8
512,0.6799724142224081,0.0024779464178718083,0.7321235720619145,0.05215115783950641,0.893038333420967,0.7724044879493418,33.0,254.3
