n_layers,f1_val,f1_val_std,f1_treino,gap_treino_val,roc_auc,pr_auc,epocas,tempo_s
1,0.6627452295904783,0.0026509484687058547,0.6868401868521169,0.024094957261638572,0.8875788966474593,0.7608123631268665,49.333333333333336,54.4
2,0.6763199878161329,0.0024323997830850257,0.7241936405193131,0.047873652703180225,0.8935845597759334,0.7729191694971306,49.666666666666664,84.7
3,0.6747001693304688,0.0014208615548862488,0.7207664953888572,0.04606632605838834,0.8926908720542032,0.7709831468192611,43.666666666666664,99.8
4,0.6802459425870285,0.0043760480499963755,0.7177164778221302,0.03747053523510169,0.8914154261808723,0.7686706042184598,39.666666666666664,114.6
5,0.67925070869744,0.0005782740279986547,0.7182783569933465,0.03902764829590655,0.8908158109702855,0.7675881578707862,38.0,133.1
6,0.6519236675545592,0.020689957930059996,0.6714530418266543,0.019529374272095112,0.8762238733089097,0.738584568442131,19.0,82.0
